Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		Fraction		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU
-0.007175	0	-0.007175	6.384247	-0.007175	0	-0.000515	""	-0.007175	"Method Settings"	9.06542	"2"	0	1.266242
-0.00551	1.260641	-0.00551	6.390717	0.001151	0			-0.007076	"Sample Application"	9.565349	"3"	0.001665	1.267832
-0.003845	1.262234	-0.003845	6.390528	0.009476	0			2.000719	"Elution"	10.06532	"4"	0.00333	1.268837
-0.00218	1.264481	-0.00218	6.390255	0.017801	0			25.553981	"Column Wash"	10.565467	"5"	0.004995	1.270543
-0.000515	1.266242	-0.000515	6.389859	0.026127	0					11.065281	"6"	0.00666	1.270868
0.00115	1.267832	0.00115	6.38927	0.034452	0					11.565409	"7"	0.008324	1.272858
0.002815	1.268837	0.002815	6.388454	0.042777	0					12.066246	"8"	0.009989	1.273713
0.00448	1.270543	0.00448	6.387464	0.051103	0					12.566046	"9"	0.011654	1.274945
0.006144	1.270868	0.006144	6.386223	0.059428	0					13.066176	"10"	0.013319	1.27658
0.007809	1.272858	0.007809	6.384494	0.067753	0					13.566123	"11"	0.014984	1.279357
0.009474	1.273713	0.009474	6.381659	0.076079	0					14.066199	"12"	0.016649	1.285609
0.011139	1.274945	0.011139	6.376721	0.084404	0					14.566937	"13"	0.018314	1.294758
0.012804	1.27658	0.012804	6.368112	0.092729	0					15.066845	"14"	0.019979	1.304879
0.014469	1.279357	0.014469	6.35434	0.101055	0					15.566962	"15"	0.021643	1.314834
0.016134	1.285609	0.016134	6.337232	0.10938	0					16.066867	"16"	0.023308	1.323509
0.017799	1.294758	0.017799	6.322179	0.117705	0					16.566777	"17"	0.024973	1.332807
0.019463	1.304879	0.019463	6.313604	0.126031	0					17.066894	"18"	0.026638	1.340228
0.021128	1.314834	0.021128	6.310701	0.134356	0					17.567632	"19"	0.028303	1.347491
0.022793	1.323509	0.022793	6.311	0.142681	0					18.067767	"20"	0.029968	1.352315
0.024458	1.332807	0.024458	6.31318	0.151007	0					18.567658	"21"	0.031633	1.357139
0.026123	1.340228	0.026123	6.316293	0.159332	0					19.067555	"22"	0.033298	1.361963
0.027788	1.347687	0.027788	6.319729	0.167657	0					19.567687	"23"	0.034962	1.366518
0.029453	1.354721	0.029453	6.323147	0.175983	0					20.068406	"24"	0.036627	1.371073
0.031118	1.360676	0.031118	6.326365	0.184308	0					20.568316	"25"	0.038292	1.375628
0.032783	1.366448	0.032783	6.32932	0.192633	0					20.845151	"Waste"	0.039957	1.380183
0.034447	1.372837	0.034447	6.33192	0.200959	0					21.052812	"Waste"	0.041622	1.384738
0.036112	1.378143	0.036112	6.334211	0.209284	0							0.043287	1.389293
0.037777	1.382636	0.037777	6.33616	0.217609	0							0.044952	1.393848
0.039442	1.385631	0.039442	6.337793	0.225935	0							0.046617	1.398403
0.041107	1.389262	0.041107	6.33903	0.23426	0							0.048281	1.402958
0.042772	1.393213	0.042772	6.340024	0.242585	0							0.049946	1.407513
0.044437	1.399073	0.044437	6.340788	0.250911	0							0.051611	1.412548
0.046102	1.402227	0.046102	6.341259	0.259236	0							0.053276	1.417582
0.047766	1.409152	0.047766	6.341439	0.267561	0							0.054941	1.422617
0.049431	1.414083	0.049431	6.341434	0.275887	0							0.056606	1.427651
0.051096	1.420016	0.051096	6.341234	0.284212	0							0.058271	1.432686
0.052761	1.426735	0.052761	6.34097	0.292537	0							0.059936	1.437721
0.054426	1.431209	0.054426	6.340523	0.300863	0							0.0616	1.442755
0.056091	1.435241	0.056091	6.340229	0.309188	0							0.063265	1.44779
0.057756	1.438127	0.057756	6.339984	0.317513	0							0.06493	1.452824
0.059421	1.441655	0.059421	6.339903	0.325839	0							0.066595	1.457859
0.061085	1.452241	0.061085	6.3399	0.334164	0							0.06826	1.462353
0.06275	1.479081	0.06275	6.339976	0.342489	0							0.069925	1.466848
0.064415	1.525896	0.064415	6.34015	0.350815	0							0.07159	1.471342
0.06608	1.594558	0.06608	6.340355	0.35914	0							0.073255	1.475837
0.067745	1.689801	0.067745	6.340631	0.367465	0							0.074919	1.480332
0.06941	1.810624	0.06941	6.340345	0.375791	0							0.076584	1.484826
0.071075	1.950365	0.071075	6.338975	0.384116	0							0.078249	1.489321
0.07274	2.095737	0.07274	6.337523	0.392441	0							0.079914	1.493815
0.074404	2.23295	0.074404	6.33655	0.400767	0							0.081579	1.49831
0.076069	2.359794	0.076069	6.336099	0.409092	0							0.083244	1.502804
0.077734	2.480108	0.077734	6.336101	0.417417	0							0.084909	1.507695
0.079399	2.589787	0.079399	6.336386	0.425743	0							0.086574	1.512586
0.081064	2.691693	0.081064	6.336741	0.434068	0							0.088239	1.517477
0.082729	2.784585	0.082729	6.337246	0.442393	0							0.089903	1.522368
0.084394	2.868712	0.084394	6.337792	0.450719	0							0.091568	1.527259
0.086059	2.945226	0.086059	6.338351	0.459044	0							0.093233	1.53215
0.087723	3.015328	0.087723	6.338861	0.467369	0							0.094898	1.537041
0.089388	3.077943	0.089388	6.339234	0.475695	0							0.096563	1.541932
0.091053	3.134876	0.091053	6.339107	0.48402	0							0.098228	1.546823
0.092718	3.187089	0.092718	6.338341	0.492345	0							0.099893	1.551714
0.094383	3.233043	0.094383	6.337196	0.50067	0							0.101558	1.556047
0.096048	3.279422	0.096048	6.335893	0.508996	0							0.103222	1.56038
0.097713	3.320652	0.097713	6.334641	0.517321	0							0.104887	1.564713
0.099378	3.358549	0.099378	6.333097	0.525647	0							0.106552	1.569046
0.101042	3.389481	0.101042	6.330713	0.533972	0							0.108217	1.573379
0.102707	3.410226	0.102707	6.327102	0.542297	0							0.109882	1.577712
0.104372	3.414709	0.104372	6.322065	0.550623	0							0.111547	1.582045
0.106037	3.396403	0.106037	6.315315	0.558948	0							0.113212	1.586378
0.107702	3.355005	0.107702	6.306958	0.567273	0							0.114877	1.590711
0.109367	3.287414	0.109367	6.297358	0.575598	0							0.116541	1.595043
0.111032	3.192242	0.111032	6.28724	0.583924	0							0.118206	1.5996
0.112697	3.076274	0.112697	6.277187	0.592249	0							0.119871	1.604157
0.114362	2.955361	0.114362	6.26776	0.600574	0							0.121536	1.608714
0.116026	2.843036	0.116026	6.259383	0.6089	0							0.123201	1.613271
0.117691	2.738885	0.117691	6.252205	0.617225	0							0.124866	1.617828
0.119356	2.64068	0.119356	6.246216	0.62555	0							0.126531	1.622385
0.121021	2.552996	0.121021	6.2416	0.633876	0							0.128196	1.626942
0.122686	2.475519	0.122686	6.238086	0.642201	0							0.12986	1.631499
0.124351	2.403961	0.124351	6.235504	0.650526	0							0.131525	1.636056
0.126016	2.341845	0.126016	6.233781	0.658852	0							0.13319	1.640613
0.127681	2.28555	0.127681	6.232723	0.667177	0							0.134855	1.645371
0.129345	2.236619	0.129345	6.232168	0.675502	0							0.13652	1.650129
0.13101	2.192523	0.13101	6.231905	0.683828	0							0.138185	1.654887
0.132675	2.154209	0.132675	6.231865	0.692153	0							0.13985	1.659645
0.13434	2.120657	0.13434	6.232008	0.700478	0							0.141515	1.664403
0.136005	2.090679	0.136005	6.232253	0.708804	0							0.143179	1.669162
0.13767	2.062113	0.13767	6.232452	0.717129	0							0.144844	1.67392
0.139335	2.037592	0.139335	6.23267	0.725454	0							0.146509	1.678678
0.141	2.015583	0.141	6.23276	0.73378	0							0.148174	1.683436
0.142664	1.997431	0.142664	6.232934	0.742105	0							0.149839	1.688194
0.144329	1.979138	0.144329	6.233058	0.75043	0							0.151504	1.693131
0.145994	1.960966	0.145994	6.233078	0.758756	0							0.153169	1.698068
0.147659	1.948702	0.147659	6.233087	0.767081	0							0.154834	1.703004
0.149324	1.937176	0.149324	6.233187	0.775406	0							0.156499	1.707941
0.150989	1.927468	0.150989	6.23328	0.783732	0							0.158163	1.712878
0.152654	1.920573	0.152654	6.233299	0.792057	0							0.159828	1.717814
0.154319	1.919007	0.154319	6.233322	0.800382	0							0.161493	1.722751
0.155983	1.917753	0.155983	6.233327	0.808708	0							0.163158	1.727688
0.157648	1.918391	0.157648	6.233411	0.817033	0							0.164823	1.732624
0.159313	1.923965	0.159313	6.233471	0.825358	0							0.166488	1.737561
0.160978	1.932416	0.160978	6.233591	0.833684	0							0.168153	1.742654
0.162643	1.943955	0.162643	6.233761	0.842009	0							0.169818	1.747747
