Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		Fraction		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU
-0.007193	0.003122	-0.007193	6.405797	-0.007193	0	-0.000584	""	-0.007193	"Method Settings"	9.064997	"2"	0	1.139166
-0.005541	1.146116	-0.005541	6.412219	0.001068	0			-0.007091	"Sample Application"	9.564473	"3"	0.001652	1.140827
-0.003888	1.144319	-0.003888	6.411937	0.00933	0			2.000318	"Elution"	10.06491	"4"	0.003304	1.140749
-0.002236	1.143067	-0.002236	6.411613	0.017591	0			25.553892	"Column Wash"	10.565159	"5"	0.004957	1.139166
-0.000584	1.141433	-0.000584	6.411085	0.025852	0					11.065418	"6"	0.006609	1.138978
0.001068	1.140827	0.001069	6.410267	0.034113	0					11.565371	"7"	0.008261	1.137619
0.002721	1.140749	0.002721	6.409199	0.042374	0					12.065269	"8"	0.009913	1.136964
0.004373	1.139166	0.004373	6.408042	0.050636	0					12.565912	"9"	0.011566	1.138003
0.006025	1.138978	0.006025	6.406639	0.058897	0					13.065681	"10"	0.013218	1.140297
0.007677	1.137619	0.007678	6.404625	0.067158	0					13.565345	"11"	0.01487	1.142581
0.00933	1.136964	0.00933	6.401361	0.075419	0					14.066145	"12"	0.016522	1.148977
0.010982	1.138003	0.010982	6.395926	0.08368	0					14.566099	"13"	0.018175	1.156181
0.012634	1.140297	0.012634	6.387728	0.091942	0					15.066461	"14"	0.019827	1.164477
0.014286	1.142581	0.014287	6.37766	0.100203	0					15.565928	"15"	0.021479	1.170894
0.015939	1.148977	0.015939	6.368449	0.108464	0					16.066597	"16"	0.023131	1.178346
0.017591	1.156181	0.017591	6.3627	0.116725	0					16.566055	"17"	0.024784	1.183266
0.019243	1.164477	0.019243	6.360473	0.124986	0					17.066728	"18"	0.026436	1.188499
0.020895	1.170894	0.020896	6.360466	0.133248	0					17.566852	"19"	0.028088	1.19293
0.022548	1.178346	0.022548	6.361678	0.141509	0					18.066774	"20"	0.02974	1.196362
0.0242	1.183266	0.0242	6.363485	0.14977	0					18.566658	"21"	0.031393	1.200761
0.025852	1.188499	0.025853	6.365635	0.158031	0					19.066782	"22"	0.033045	1.203821
0.027504	1.19293	0.027505	6.367826	0.166292	0					19.566702	"23"	0.034697	1.207064
0.029156	1.196362	0.029157	6.369914	0.174554	0					20.067434	"24"	0.036349	1.211414
0.030809	1.200761	0.030809	6.371812	0.182815	0					20.567545	"25"	0.038002	1.213736
0.032461	1.203821	0.032462	6.373394	0.191076	0					20.844995	"Waste"	0.039654	1.21611
0.034113	1.207064	0.034114	6.374712	0.199337	0					21.052484	"Waste"	0.041306	1.218664
0.035765	1.211414	0.035766	6.375785	0.207598	0							0.042958	1.220987
0.037418	1.213736	0.037418	6.376604	0.21586	0							0.04461	1.221723
0.03907	1.21611	0.039071	6.377197	0.224121	0							0.046263	1.224491
0.040722	1.218664	0.040723	6.377584	0.232382	0							0.047915	1.225946
0.042374	1.220987	0.042375	6.377799	0.240643	0							0.049567	1.228269
0.044027	1.221723	0.044027	6.377851	0.248904	0							0.051219	1.231115
0.045679	1.224491	0.04568	6.37774	0.257166	0							0.052872	1.233366
0.047331	1.225946	0.047332	6.377449	0.265427	0							0.054524	1.236372
0.048983	1.228269	0.048984	6.377047	0.273688	0							0.056176	1.239139
0.050636	1.231115	0.050637	6.376544	0.281949	0							0.057828	1.241882
0.052288	1.233366	0.052289	6.375912	0.29021	0							0.059481	1.253778
0.05394	1.236372	0.053941	6.375212	0.298472	0							0.061133	1.282569
0.055592	1.239139	0.055593	6.374526	0.306733	0							0.062785	1.335994
0.057245	1.241882	0.057246	6.373907	0.314994	0							0.064437	1.358845
0.058897	1.253778	0.058898	6.373356	0.323255	0							0.06609	1.364452
0.060549	1.282569	0.06055	6.37293	0.331516	0							0.067742	1.369811
0.062201	1.335994	0.062202	6.372572	0.339778	0							0.069394	1.37517
0.063854	1.41179	0.063855	6.372247	0.348039	0							0.071046	1.38053
0.065506	1.510295	0.065507	6.372033	0.3563	0							0.072699	1.385889
0.067158	1.637972	0.067159	6.371781	0.364561	0							0.074351	1.391248
0.06881	1.804639	0.068811	6.371193	0.372822	0							0.076003	1.396607
0.070462	2.002155	0.070464	6.370018	0.381084	0							0.077655	1.401967
0.072115	2.208548	0.072116	6.368657	0.389345	0							0.079308	1.407326
0.073767	2.410016	0.073768	6.367566	0.397606	0							0.08096	1.412685
0.075419	2.59741	0.075421	6.36693	0.405867	0							0.082612	1.418044
0.077071	2.772552	0.077073	6.366557	0.414128	0							0.084264	1.423886
0.078724	2.93817	0.078725	6.36634	0.42239	0							0.085916	1.429728
0.080376	3.092133	0.080377	6.366199	0.430651	0							0.087569	1.435569
0.082028	3.234691	0.08203	6.36621	0.438912	0							0.089221	1.441411
0.08368	3.363879	0.083682	6.366279	0.447173	0							0.090873	1.447252
0.085333	3.482353	0.085334	6.366297	0.455434	0							0.092525	1.453094
0.086985	3.590772	0.086986	6.366302	0.463695	0							0.094178	1.458935
0.088637	3.690168	0.088639	6.366238	0.471957	0							0.09583	1.464777
0.090289	3.782272	0.090291	6.365888	0.480218	0							0.097482	1.470618
0.091942	3.867105	0.091943	6.36506	0.488479	0							0.099134	1.47646
0.093594	3.945204	0.093595	6.363732	0.49674	0							0.100787	1.481642
0.095246	4.014902	0.095248	6.362233	0.505001	0							0.102439	1.486823
0.096898	4.077671	0.0969	6.360782	0.513263	0							0.104091	1.492005
0.098551	4.134905	0.098552	6.359186	0.521524	0							0.105743	1.497187
0.100203	4.180811	0.100205	6.356826	0.529785	0							0.107396	1.502368
0.101855	4.20778	0.101857	6.353301	0.538046	0							0.109048	1.50755
0.103507	4.208615	0.103509	6.348311	0.546308	0							0.1107	1.512731
0.105159	4.182943	0.105161	6.341581	0.554569	0							0.112352	1.517913
0.106812	4.131199	0.106814	6.332694	0.56283	0							0.114005	1.523095
0.108464	4.048837	0.108466	6.321784	0.571091	0							0.115657	1.528276
0.110116	3.927241	0.110118	6.309678	0.579352	0							0.117309	1.533731
0.111768	3.770589	0.11177	6.297207	0.587613	0							0.118961	1.539186
0.113421	3.601337	0.113423	6.28517	0.595875	0							0.120614	1.544641
0.115073	3.435212	0.115075	6.274123	0.604136	0							0.122266	1.550096
0.116725	3.277148	0.116727	6.264441	0.612397	0							0.123918	1.555551
0.118377	3.131057	0.118379	6.256463	0.620658	0							0.12557	1.561006
0.12003	2.998585	0.120032	6.250058	0.628919	0							0.127222	1.56646
0.121682	2.878631	0.121684	6.245282	0.637181	0							0.128875	1.571915
0.123334	2.770358	0.123336	6.241716	0.645442	0							0.130527	1.57737
0.124986	2.680454	0.124989	6.239249	0.653703	0							0.132179	1.582825
0.126639	2.601401	0.126641	6.237671	0.661964	0							0.133831	1.588526
0.128291	2.526811	0.128293	6.236765	0.670225	0							0.135484	1.594227
0.129943	2.461288	0.129945	6.2363	0.678487	0							0.137136	1.599927
0.131595	2.401289	0.131598	6.236252	0.686748	0							0.138788	1.605628
0.133248	2.344081	0.13325	6.236314	0.695009	0							0.14044	1.611329
0.1349	2.291863	0.134902	6.23654	0.70327	0							0.142093	1.61703
0.136552	2.24579	0.136554	6.236836	0.711531	0							0.143745	1.62273
0.138204	2.206616	0.138207	6.237198	0.719793	0							0.145397	1.628431
0.139857	2.170747	0.139859	6.237653	0.728054	0							0.147049	1.634132
0.141509	2.137656	0.141511	6.237899	0.736315	0							0.148702	1.639833
0.143161	2.107484	0.143163	6.238134	0.744576	0							0.150354	1.645752
0.144813	2.078902	0.144816	6.238266	0.752837	0							0.152006	1.651671
0.146465	2.051853	0.146468	6.238379	0.761099	0							0.153658	1.657591
0.148118	2.028451	0.14812	6.238469	0.76936	0							0.155311	1.66351
0.14977	2.009434	0.149773	6.238474	0.777621	0							0.156963	1.669429
0.151422	1.992464	0.151425	6.238532	0.785882	0							0.158615	1.675349
0.153074	1.978049	0.153077	6.238475	0.794143	0							0.160267	1.681268
0.154727	1.965985	0.154729	6.238389	0.802405	0							0.161919	1.687187
0.156379	1.95585	0.156382	6.238279	0.810666	0							0.163572	1.693107
0.158031	1.946403	0.158034	6.238114	0.818927	0							0.165224	1.699026
0.159683	1.938573	0.159686	6.238081	0.827188	0							0.166876	1.705137
0.161336	1.932457	0.161338	6.238091	0.835449	0							0.168528	1.711248
