Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		Fraction		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU
-0.007231	0	-0.007231	8.621707	-0.007231	0	0.000255	""	-0.007231	"Method Settings"	8.885571	"2"	0	-0.34535
-0.006399	0.94247	-0.005567	8.626883	0.001087	0			-0.007131	"Sample Application"	9.385649	"3"	0.000832	-0.345347
-0.005567	0.946029	-0.003904	8.626966	0.009405	0			3.001007	"Elution"	9.885866	"4"	0.001664	-0.345344
-0.004735	0.94843	-0.00224	8.627065	0.017722	0					10.385734	"5"	0.002495	-0.345341
-0.003904	0.951443	-0.000576	8.62719	0.02604	0					10.885585	"6"	0.003327	-0.345339
-0.003072	0.953277	0.001087	8.627316	0.034358	0					11.385812	"7"	0.004159	-0.345336
-0.00224	0.95499	0.002751	8.627415	0.042675	0					11.886452	"8"	0.004991	-0.345333
-0.001408	0.956738	0.004414	8.627499	0.050993	0					12.386581	"9"	0.005822	-0.34533
-0.000577	0.958759	0.006078	8.62756	0.059311	0					12.886584	"10"	0.006654	-0.345327
0.000255	0.960601	0.007742	8.627657	0.067629	0					13.38638	"11"	0.007486	-0.345325
0.001087	0.961415	0.009405	8.627879	0.075946	0					13.886521	"12"	0.008318	-0.345322
0.001919	0.96294	0.011069	8.628246	0.084264	0					14.386517	"13"	0.009149	-0.345319
0.002751	0.964794	0.012732	8.628673	0.092582	0					14.887149	"14"	0.009981	-0.345316
0.003582	0.966493	0.014396	8.629075	0.100899	0					15.38729	"15"	0.010813	-0.345313
0.004414	0.967682	0.01606	8.629409	0.109217	0					15.887288	"16"	0.011645	-0.34531
0.005246	0.96886	0.017723	8.629635	0.117535	0					16.387083	"17"	0.012477	-0.345307
0.006078	0.970998	0.019387	8.62968	0.125853	0					16.887232	"18"	0.013308	-0.345304
0.006909	0.97229	0.02105	8.629556	0.13417	0					17.388042	"19"	0.01414	-0.345301
0.007741	0.973425	0.022714	8.629431	0.142488	0					17.888086	"20"	0.014972	-0.345298
0.008573	0.974913	0.024377	8.629423	0.150806	0					18.388001	"21"	0.015804	-0.345295
0.009405	0.976456	0.026041	8.629473	0.159123	0					18.887983	"22"	0.016635	-0.345292
0.010236	0.978622	0.027705	8.629533	0.167441	0					19.388025	"23"	0.017467	-0.345289
0.011068	0.979837	0.029368	8.629596	0.175759	0					19.484592	"Waste"	0.018299	-0.345286
0.0119	0.981363	0.031032	8.629676	0.184076	0					19.692083	"Waste"	0.019131	-0.345283
0.012732	0.981629	0.032695	8.629741	0.192394	0							0.019962	-0.34528
0.013564	0.981391	0.034359	8.629737	0.200712	0							0.020794	-0.345277
0.014395	0.981766	0.036023	8.629611	0.20903	0							0.021626	-0.345274
0.015227	0.981984	0.037686	8.629329	0.217347	0							0.022458	-0.345271
0.016059	0.982152	0.03935	8.628879	0.225665	0							0.02329	-0.345268
0.016891	0.982437	0.041013	8.628205	0.233983	0							0.024121	-0.345265
0.017722	0.982209	0.042677	8.627312	0.2423	0							0.024953	-0.345262
0.018554	0.981267	0.044341	8.626184	0.250618	0							0.025785	-0.345259
0.019386	0.981169	0.046004	8.624852	0.258936	0							0.026617	-0.345256
0.020218	0.98047	0.047668	8.623329	0.267254	0							0.027448	-0.345253
0.021049	0.979913	0.049331	8.621667	0.275571	0							0.02828	-0.34525
0.021881	0.979481	0.050995	8.619932	0.283889	0							0.029112	-0.345247
0.022713	0.97935	0.052658	8.618068	0.292207	0							0.029944	-0.345244
0.023545	0.979396	0.054322	8.616122	0.300524	0							0.030776	-0.345241
0.024377	0.979851	0.055986	8.614144	0.308842	0							0.031607	-0.345238
0.025208	0.980042	0.057649	8.612106	0.31716	0							0.032439	-0.345235
0.02604	0.978965	0.059313	8.610067	0.325477	0							0.033271	-0.345232
0.026872	0.97883	0.060976	8.608076	0.333795	0							0.034103	-0.345229
0.027704	0.979048	0.06264	8.606071	0.342113	0							0.034934	-0.345226
0.028535	0.978596	0.064304	8.604074	0.350431	0							0.035766	-0.345223
0.029367	0.977434	0.065967	8.602134	0.358748	0							0.036598	-0.34522
0.030199	0.976285	0.067631	8.600261	0.367066	0							0.03743	-0.345217
0.031031	0.975899	0.069294	8.598387	0.375384	0							0.038261	-0.345214
0.031862	0.97528	0.070958	8.596503	0.383701	0							0.039093	-0.345211
0.032694	0.974384	0.072622	8.594568	0.392019	0							0.039925	-0.345208
0.033526	0.97454	0.074285	8.592686	0.400337	0							0.040757	-0.345205
0.034358	0.973766	0.075949	8.590859	0.408655	0							0.041589	-0.345202
0.03519	0.972544	0.077612	8.589056	0.416972	0							0.04242	-0.345199
0.036021	0.972278	0.079276	8.587338	0.42529	0							0.043252	-0.345196
0.036853	0.972132	0.080939	8.585643	0.433608	0							0.044084	-0.345193
0.037685	0.971016	0.082603	8.583946	0.441925	0							0.044916	-0.34519
0.038517	0.970607	0.084267	8.582269	0.450243	0							0.045747	-0.345187
0.039348	0.971053	0.08593	8.580642	0.458561	0							0.046579	-0.345184
0.04018	0.970853	0.087594	8.57908	0.466878	0							0.047411	-0.345181
0.041012	0.970587	0.089257	8.577508	0.475196	0							0.048243	-0.345178
0.041844	0.969249	0.090921	8.575937	0.483514	0							0.049074	-0.345175
0.042675	0.969658	0.092585	8.574437	0.491832	0							0.049906	-0.345172
0.043507	0.970201	0.094248	8.57305	0.500149	0							0.050738	-0.34517
0.044339	0.968809	0.095912	8.571696	0.508467	0							0.05157	-0.345167
0.045171	0.968288	0.097575	8.570383	0.516785	0							0.052402	-0.345164
0.046003	0.968382	0.099239	8.569156	0.525102	0							0.053233	-0.345162
0.046834	0.968642	0.100903	8.567996	0.53342	0							0.054065	-0.345159
0.047666	0.967481	0.102566	8.566905	0.541738	0							0.054897	-0.345156
0.048498	0.967448	0.10423	8.565779	0.550056	0							0.055729	-0.345153
0.04933	0.968176	0.105893	8.56443	0.558373	0							0.05656	-0.345151
0.050161	0.967866	0.107557	8.562538	0.566691	0							0.057392	-0.345148
0.050993	0.968099	0.10922	8.559735	0.575009	0							0.058224	-0.345145
0.051825	0.967088	0.110884	8.55598	0.583326	0							0.059056	-0.345142
0.052657	0.967033	0.112548	8.551616	0.591644	0							0.059887	-0.345139
0.053489	0.966868	0.114211	8.547036	0.599962	0							0.060719	-0.345136
0.05432	0.96561	0.115875	8.542513	0.608279	0							0.061551	-0.345134
0.055152	0.965602	0.117538	8.538337	0.616597	0							0.062383	-0.345131
0.055984	0.964731	0.119202	8.534724	0.624915	0							0.063215	-0.345128
0.056816	0.963854	0.120866	8.531696	0.633233	0							0.064046	-0.345125
0.057647	0.963765	0.122529	8.52926	0.64155	0							0.064878	-0.345122
0.058479	0.963413	0.124193	8.527313	0.649868	0							0.06571	-0.345119
0.059311	0.963908	0.125856	8.525814	0.658186	0							0.066542	-0.345116
0.060143	0.964097	0.12752	8.524695	0.666503	0							0.067373	-0.345113
0.060974	0.962743	0.129184	8.523843	0.674821	0							0.068205	-0.34511
0.061806	0.962306	0.130847	8.523194	0.683139	0							0.069037	-0.345107
0.062638	0.961456	0.132511	8.522711	0.691456	0							0.069869	-0.345104
0.06347	0.960727	0.134174	8.522366	0.699774	0							0.0707	-0.345101
0.064302	0.958753	0.135838	8.522168	0.708092	0							0.071532	-0.345097
0.065133	0.958061	0.137501	8.522049	0.71641	0							0.072364	-0.345094
0.065965	0.957805	0.139165	8.521976	0.724727	0							0.073196	-0.345091
0.066797	0.957785	0.140829	8.521894	0.733045	0							0.074028	-0.345088
0.067629	0.960175	0.142492	8.521788	0.741363	0							0.074859	-0.345085
0.06846	0.964688	0.144156	8.521685	0.74968	0							0.075691	-0.345083
0.069292	0.971698	0.145819	8.521593	0.757998	0							0.076523	-0.345081
0.070124	0.979481	0.147483	8.521498	0.766316	0							0.077355	-0.345079
0.070956	0.989487	0.149147	8.521423	0.774634	0							0.078186	-0.345076
0.071787	1.000806	0.15081	8.521316	0.782951	0							0.079018	-0.345074
0.072619	1.01154	0.152474	8.521211	0.791269	0							0.07985	-0.345072
0.073451	1.023328	0.154137	8.521113	0.799587	0							0.080682	-0.34507
0.074283	1.036479	0.155801	8.520979	0.807904	0							0.081513	-0.345068
0.075115	1.049666	0.157465	8.52078	0.816222	0							0.082345	-0.345066
0.075946	1.063342	0.159128	8.520602	0.82454	0							0.083177	-0.345063
