Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	mAU
-0.007176	0.000238	-0.007176	5.586215	-0.007176	0	0.0003	""	-0.007176	"Method Settings"	0	0.6564
-0.006428	0.650359	-0.005677	5.593961	0.000454	0			-0.007087	"Sample Application"	0.000748	0.65682
-0.005681	0.651201	-0.004178	5.594191	0.008083	0					0.001495	0.657194
-0.004933	0.65138	-0.002678	5.59435	0.015713	0					0.002243	0.657544
-0.004186	0.652427	-0.001179	5.594516	0.023343	0					0.00299	0.657753
-0.003438	0.653629	0.00032	5.594733	0.030972	0					0.003738	0.658765
-0.002691	0.654331	0.001819	5.594919	0.038602	0					0.004485	0.659317
-0.001943	0.654491	0.003318	5.595156	0.046231	0					0.005233	0.659967
-0.001195	0.654893	0.004817	5.595219	0.053861	0					0.00598	0.660567
-0.000448	0.655677	0.006316	5.595305	0.061491	0					0.006728	0.661471
0.0003	0.6564	0.007815	5.595451	0.06912	0					0.007476	0.662785
0.001047	0.65682	0.009315	5.595675	0.07675	0					0.008223	0.66408
0.001795	0.657194	0.010814	5.595871	0.084379	0					0.008971	0.664775
0.002542	0.657544	0.012313	5.59584	0.092009	0					0.009718	0.66547
0.00329	0.657753	0.013812	5.595293	0.099639	0					0.010466	0.666165
0.004037	0.658765	0.015311	5.593946	0.107268	0					0.011213	0.66686
0.004785	0.659317	0.01681	5.591776	0.114898	0					0.011961	0.667556
0.005533	0.659967	0.018309	5.589213	0.122527	0					0.012708	0.668251
0.00628	0.660567	0.019808	5.587338	0.130157	0					0.013456	0.668946
0.007028	0.661471	0.021308	5.58645	0.137786	0					0.014204	0.669641
0.007775	0.662785	0.022807	5.586181	0.145416	0					0.014951	0.670336
0.008523	0.664265	0.024306	5.586222	0.153046	0					0.015699	0.671054
0.00927	0.665864	0.025805	5.586485	0.160675	0					0.016446	0.671771
0.010018	0.667508	0.027304	5.586953	0.168305	0					0.017194	0.672489
0.010765	0.669866	0.028803	5.587506	0.175934	0					0.017941	0.673206
0.011513	0.672745	0.030302	5.588015	0.183564	0					0.018689	0.673923
0.012261	0.674734	0.031801	5.588579	0.191194	0					0.019436	0.674641
0.013008	0.67715	0.033301	5.589053	0.198823	0					0.020184	0.675358
0.013756	0.679905	0.0348	5.589442	0.206453	0					0.020931	0.676076
0.014503	0.683248	0.036299	5.589795	0.214082	0					0.021679	0.676793
0.015251	0.688044	0.037798	5.590048	0.221712	0					0.022427	0.677511
0.015998	0.693873	0.039297	5.59024	0.229342	0					0.023174	0.678204
0.016746	0.699054	0.040796	5.590375	0.236971	0					0.023922	0.678897
0.017493	0.704364	0.042295	5.590448	0.244601	0					0.024669	0.67959
0.018241	0.710468	0.043794	5.590466	0.25223	0					0.025417	0.680283
0.018989	0.717137	0.045294	5.590428	0.25986	0					0.026164	0.680977
0.019736	0.724049	0.046793	5.590382	0.26749	0					0.026912	0.68167
0.020484	0.731736	0.048292	5.590178							0.027659	0.682363
0.021231	0.740668	0.049791	5.589902							0.028407	0.683056
0.021979	0.750162	0.05129	5.589606							0.029155	0.683749
0.022726	0.760161	0.052789	5.58929							0.029902	0.684442
0.023474	0.770732	0.054288	5.588943							0.03065	0.685124
0.024221	0.781128	0.055787	5.588547							0.031397	0.685806
0.024969	0.791579	0.057287	5.58813							0.032145	0.686488
0.025716	0.802424	0.058786	5.587722							0.032892	0.68717
0.026464	0.814175	0.060285	5.587252							0.03364	0.687852
0.027212	0.826408	0.061784	5.586822							0.034387	0.688534
0.027959	0.838375	0.063283	5.58637							0.035135	0.689216
0.028707	0.85061	0.064782	5.585862							0.035883	0.689898
0.029454	0.863927	0.066281	5.585401							0.03663	0.69058
