,Wavelength,CD_value
0,259.9,-0.341071
1,259.8,-0.373162
2,259.7,-0.360893
3,259.6,-0.348513
4,259.5,-0.362024
5,259.4,-0.359826
6,259.3,-0.422066
7,259.2,-0.431239
8,259.1,-0.425209
9,259.0,-0.453544
10,258.9,-0.430256
11,258.8,-0.47001
12,258.7,-0.450525
13,258.6,-0.430369
14,258.5,-0.419035
15,258.4,-0.380961
16,258.3,-0.396097
17,258.2,-0.399186
18,258.1,-0.435325
19,258.0,-0.399861
20,257.9,-0.411578
21,257.8,-0.464509
22,257.7,-0.467687
23,257.6,-0.432704
24,257.5,-0.446184
25,257.4,-0.445098
26,257.3,-0.411114
27,257.2,-0.46242
28,257.1,-0.438191
29,257.0,-0.424487
30,256.9,-0.434257
31,256.8,-0.458352
32,256.7,-0.475689
33,256.6,-0.477185
34,256.5,-0.481939
35,256.4,-0.515988
36,256.3,-0.488199
37,256.2,-0.519859
38,256.1,-0.516508
39,256.0,-0.494537
40,255.9,-0.508426
41,255.8,-0.506565
42,255.7,-0.534104
43,255.6,-0.517433
44,255.5,-0.512102
45,255.4,-0.527696
46,255.3,-0.532324
47,255.2,-0.577808
48,255.1,-0.579362
49,255.0,-0.634852
50,254.9,-0.656531
51,254.8,-0.670457
52,254.7,-0.661778
53,254.6,-0.690082
54,254.5,-0.667347
55,254.4,-0.609517
56,254.3,-0.652207
57,254.2,-0.648442
58,254.1,-0.634147
59,254.0,-0.594828
60,253.9,-0.601249
61,253.8,-0.647578
62,253.7,-0.627223
63,253.6,-0.63623
64,253.5,-0.630912
65,253.4,-0.628757
66,253.3,-0.606864
67,253.2,-0.596872
68,253.1,-0.62759
69,253.0,-0.611091
70,252.9,-0.614605
71,252.8,-0.597253
72,252.7,-0.5867
73,252.6,-0.572424
74,252.5,-0.533463
75,252.4,-0.539214
76,252.3,-0.547172
77,252.2,-0.588368
78,252.1,-0.558171
79,252.0,-0.64718
80,251.9,-0.660449
81,251.8,-0.646186
82,251.7,-0.686841
83,251.6,-0.749173
84,251.5,-0.732951
85,251.4,-0.689817
86,251.3,-0.71054
87,251.2,-0.745766
88,251.1,-0.690251
89,251.0,-0.679202
90,250.9,-0.735174
91,250.8,-0.726634
92,250.7,-0.809538
93,250.6,-0.847359
94,250.5,-0.873921
95,250.4,-0.876
96,250.3,-0.876503
97,250.2,-0.934525
98,250.1,-0.960991
99,250.0,-0.975355
100,249.9,-0.891429
101,249.8,-0.878217
102,249.7,-0.819027
103,249.6,-0.829541
104,249.5,-0.882124
105,249.4,-0.906257
